zip,cbsa,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
00683,41900,SAN GERMAN,PR,0.999841872,1.000000000,1.000000000,0.999854577
00683,32420,SAN GERMAN,PR,0.000158128,0.000000000,0.000000000,0.000145423
00923,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
01010,44140,BRIMFIELD,MA,0.976895735,1.000000000,1.000000000,0.977815700
01010,49340,BRIMFIELD,MA,0.023104265,0.000000000,0.000000000,0.022184300
01257,38340,SHEFFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,WILLIAMSTOWN,MA,1.000000000,1.000000000,1.000000000,1.000000000
01331,49340,ATHOL,MA,0.998417221,0.997590361,1.000000000,0.998437278
01331,44140,ATHOL,MA,0.001582779,0.002409639,0.000000000,0.001562722
01339,44140,CHARLEMONT,MA,1.000000000,1.000000000,1.000000000,1.000000000
01469,14460,TOWNSEND,MA,1.000000000,1.000000000,1.000000000,1.000000000
02027,14460,DEDHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
02120,14460,ROXBURY CROSSING,MA,1.000000000,1.000000000,1.000000000,1.000000000
02128,14460,EAST BOSTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
02199,14460,BOSTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
02361,14460,PLYMOUTH,MA,1.000000000,1.000000000,1.000000000,1.000000000
02664,12700,SOUTH YARMOUTH,MA,1.000000000,1.000000000,1.000000000,1.000000000
02668,12700,WEST BARNSTABLE,MA,1.000000000,1.000000000,1.000000000,1.000000000
02648,12700,MARSTONS MILLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
02739,14460,MATTAPOISETT,MA,1.000000000,1.000000000,1.000000000,1.000000000
02895,39300,WOONSOCKET,RI,1.000000000,1.000000000,1.000000000,1.000000000
03281,31700,WEARE,NH,0.999183007,1.000000000,1.000000000,0.999230375
03281,18180,WEARE,NH,0.000816993,0.000000000,0.000000000,0.000769625
03743,30100,CLAREMONT,NH,1.000000000,1.000000000,1.000000000,1.000000000
03592,13620,PITTSBURG,NH,1.000000000,1.000000000,1.000000000,1.000000000
03605,30100,LEMPSTER,NH,1.000000000,1.000000000,1.000000000,1.000000000
03886,99999,TAMWORTH,NH,1.000000000,1.000000000,1.000000000,1.000000000
03884,14460,STRAFFORD,NH,1.000000000,1.000000000,1.000000000,1.000000000
04357,12300,RICHMOND,ME,0.000577701,0.000000000,0.000000000,0.000526316
04357,38860,RICHMOND,ME,0.999422299,1.000000000,1.000000000,0.999473684
04649,99999,JONESPORT,ME,1.000000000,1.000000000,1.000000000,1.000000000
04627,99999,DEER ISLE,ME,1.000000000,1.000000000,1.000000000,1.000000000
04562,38860,PHIPPSBURG,ME,1.000000000,1.000000000,1.000000000,1.000000000
04921,12620,BROOKS,ME,0.004872107,0.000000000,0.000000000,0.004705882
04921,99999,BROOKS,ME,0.995127893,1.000000000,1.000000000,0.995294118
04548,38860,GEORGETOWN,ME,1.000000000,1.000000000,1.000000000,1.000000000
05038,30100,CHELSEA,VT,1.000000000,1.000000000,1.000000000,1.000000000
05474,15540,NORTH HERO,VT,1.000000000,1.000000000,1.000000000,1.000000000
05679,30100,WILLIAMSTOWN,VT,1.000000000,1.000000000,1.000000000,1.000000000
05651,12740,EAST MONTPELIER,VT,1.000000000,1.000000000,1.000000000,1.000000000
05763,40860,PITTSFORD,VT,1.000000000,1.000000000,1.000000000,1.000000000
05738,40860,CUTTINGSVILLE,VT,1.000000000,1.000000000,1.000000000,1.000000000
05874,99999,WESTFIELD,VT,1.000000000,1.000000000,1.000000000,1.000000000
06042,25540,MANCHESTER,CT,1.000000000,1.000000000,1.000000000,1.000000000
06052,25540,NEW BRITAIN,CT,1.000000000,1.000000000,1.000000000,1.000000000
06010,45860,BRISTOL,CT,0.000108460,0.000000000,0.000000000,0.000096525
06010,25540,BRISTOL,CT,0.999891540,1.000000000,1.000000000,0.999903475
05905,99999,GUILDHALL,VT,1.000000000,1.000000000,0.000000000,1.000000000
06060,25540,NORTH GRANBY,CT,1.000000000,1.000000000,1.000000000,1.000000000
